基础业务办理|||套餐变更|||需要修改套餐|||
基础业务办理|||套餐变更|||流量解封不了|||
基础业务办理|||套餐变更|||不可以不用人工服务取消业务吗？|||
基础业务办理|||套餐变更|||我要改最低消费，为什么客服说可以，我排了2个多小时队，营业厅一句不可以。就把我发的了，我有一个套餐是三年的，原来营业厅告诉我，到期之后就可以更改。我交了三年的话费。现在到期了。打10010说可以。现在营业厅又不认帐了，我强烈要求投诉。要不把三年的话费退给我。我转网。|||
基础业务办理|||套餐变更|||本人于昨天（2020年2月28日）联系手厅要求更换8元流量王套餐，29号晚上怀化客服部人员第一次联系我，意思是说刚刚被收回权限，同日下午收到怀化客服部工号2号人员电话反馈，说套餐下架了，两位客服人员说法不一，我对此有疑问，多问了几句工号为2号的客服人员，她表现极不耐烦，联通对老用户这么苛刻吗|||
基础业务办理|||套餐变更|||我要改最低消费，为什么客服说可以，我排了2个多小时队，营业厅一句不可以。就把我发的了，我有一个套餐是三年的，原来营业厅告诉我，到期之后就可以更改。我交了三年的话费。现在到期了。打10010说可以。现在营业厅又不认帐了，我强烈要求投诉。要不把三年的话费退给我。我转网。|||
基础业务办理|||套餐变更|||49元套餐没办法退，定的时候立马可以定，退的时候公司太坑人|||
基础业务办理|||套餐变更|||你们这个大王卡有毒，说是40G流量半个月不到就用了200多G了不是看腾讯视频免流吗？我一个月都不打什么电话就花了我200多块钱了|||
基础业务办理|||套餐变更|||你们的人工客服呢？？？智能客服根本听不懂我说什么！！我只是想将我的联通卡转为大王卡，有那么难吗？？？？！！！！|||
基础业务办理|||套餐变更|||取消流量加速包|||
基础业务办理|||套餐变更|||什么烂规矩最后一天不能变更套餐？霸王条款啊|||
基础业务办理|||套餐变更|||连退个视频包都退不掉，要你这破软件有何用，坑钱没素质|||
基础业务办理|||套餐变更|||为什么不能退？？|||
基础业务办理|||套餐变更|||请看图片好吗|||
基础业务办理|||套餐变更|||订的流量包怎么没法退订，先也没说是不能退订的啊，而且短信提示说不退订下月继续，那怎么退订呢|||
基础业务办理|||套餐变更|||可换套餐吗|||
基础业务办理|||套餐变更|||原本是一元1G，不使用流量不扣钱，客服打电话强行更改为每月固定消费30元，固定流量20G。本人无法更改。|||
基础业务办理|||套餐变更|||这个流量包哪有退啊，愁人|||
基础业务办理|||套餐变更|||我要申请变更套餐谢谢我也不知道最后一天不可以啊下不为例|||
基础业务办理|||套餐变更|||忘记了在老家。我现在申请减套餐谢谢|||
基础业务办理|||套餐变更|||为什么月底不能更换套餐，我套餐搞错了，扣那么多钱，我都没话费交了|||
基础业务办理|||套餐变更|||我的天空空如也？嗯(′)！好看点了没有了吗呢啊！我的天呀！你几点到几点到啊啊啊啊啊啊啊啊啊啊啊啊。你有多少爱可以重来了吗你几点到校服吗丁啉！嗯┿(?)?？嗯┿(?)?你呢！你发了什么么哒？好远好远方的人民币兑换一个月后面是你说的都对的人了没呀呵呵！你发货吧唧嘴上功夫妻相亲相爱一家人民币汇率先生贵姓什么的啊哈哈哈？你有多少个人所得税收到了没有啊就是不是傻狗粮库尔勒布朗博士点赞吧唧嘴上不说的话题型男朋|||
基础业务办理|||套餐变更|||无线接入DD上网流量费六十元是什么意思|||
基础业务办理|||套餐变更|||最后一天8点后不能办理业务，退不了流量包，垃圾|||
基础业务办理|||套餐变更|||取消不了了|||
基础业务办理|||套餐变更|||居然退不了|||
基础业务办理|||套餐变更|||我要取消30元包10G流量包月，为什么不能办，明天就1号了！！！！|||
基础业务办理|||套餐变更|||退订流量包，小孩子误订的冰激凌圣代包。|||
基础业务办理|||套餐变更|||没有合适的套餐？打给客服也不给解决，就不给换套餐，想让我们一直用贵的|||
基础业务办理|||套餐变更|||就没有50元以下的套餐|||
基础业务办理|||套餐变更|||你们的客服经常联系要求变更大流量的套餐，这个得看用户需求来定好吗？定向流量不适合大多数人用，另外加收的每天一元800M额外收费是市场需求客户认同和接受大家可以理解，但是我在不需要增加大流量套餐你们的客服经常耍求购买大流量套餐有强迫消费嫌疑让人非常讨厌。|||
基础业务办理|||套餐变更|||谁改了我的套餐|||
基础业务办理|||套餐变更|||5G升级包49元20G的流量包是不是下月扣费|||
基础业务办理|||套餐变更|||月底最后一天不能改套餐为什么还不能看每个套餐的资费标准信息|||
基础业务办理|||套餐变更|||生效好慢，都用的是话费|||
基础业务办理|||套餐变更|||怎么办理？只喊分享|||
基础业务办理|||套餐变更|||？？我有说我要订这个东西了吗？我明明说了不要给我订些乱七八糟的你们是想怎么样？|||
基础业务办理|||套餐变更|||不能变更套餐|||
